,stop_id,alightings,boardings,location
68,89,51.2,17.5,"{'type': 'Point', 'coordinates': [-87.649401, 41.876682]}"
69,92,28.8,15.9,"{'type': 'Point', 'coordinates': [-87.6544072, 41.87661688]}"
70,93,40.9,25.8,"{'type': 'Point', 'coordinates': [-87.65680352, 41.87657583]}"
71,94,45.7,14.9,"{'type': 'Point', 'coordinates': [-87.65932106, 41.87652937]}"
72,96,33.2,13.1,"{'type': 'Point', 'coordinates': [-87.66410017, 41.87644665]}"
73,97,59.6,94.2,"{'type': 'Point', 'coordinates': [-87.66647087, 41.87640948]}"
74,99,26.8,28.4,"{'type': 'Point', 'coordinates': [-87.67187647, 41.87632903]}"
75,100,108.4,153.8,"{'type': 'Point', 'coordinates': [-87.674057, 41.876242]}"
76,101,16.0,24.0,"{'type': 'Point', 'coordinates': [-87.676072, 41.87624]}"
77,103,0.4,0.3,"{'type': 'Point', 'coordinates': [-87.66897, 41.87421]}"
78,107,332.4,237.6,"{'type': 'Point', 'coordinates': [-87.67454701, 41.8741415]}"
79,108,49.4,61.5,"{'type': 'Point', 'coordinates': [-87.67632053, 41.87410934]}"
80,111,187.7,163.9,"{'type': 'Point', 'coordinates': [-87.67635136, 41.87740942]}"
81,118,9.3,8.6,"{'type': 'Point', 'coordinates': [-87.69097077, 41.87755894]}"
82,119,41.4,24.0,"{'type': 'Point', 'coordinates': [-87.69403232, 41.87752503]}"
83,120,98.5,95.3,"{'type': 'Point', 'coordinates': [-87.69648347, 41.87749585]}"
84,121,57.5,64.2,"{'type': 'Point', 'coordinates': [-87.6987788, 41.87747326]}"
85,122,60.3,44.1,"{'type': 'Point', 'coordinates': [-87.70133446, 41.87744329]}"
86,123,31.1,17.5,"{'type': 'Point', 'coordinates': [-87.70378269, 41.87740982]}"
87,124,129.8,190.4,"{'type': 'Point', 'coordinates': [-87.70627812, 41.87739519]}"
88,125,15.8,5.3,"{'type': 'Point', 'coordinates': [-87.70855292, 41.8773701]}"
89,126,104.5,87.1,"{'type': 'Point', 'coordinates': [-87.71111733, 41.87735315]}"
90,127,23.6,11.5,"{'type': 'Point', 'coordinates': [-87.71365567, 41.87730566]}"
91,128,26.9,35.7,"{'type': 'Point', 'coordinates': [-87.7158695, 41.87701673]}"
92,129,51.2,27.5,"{'type': 'Point', 'coordinates': [-87.72104802, 41.8772105]}"
93,130,51.4,12.1,"{'type': 'Point', 'coordinates': [-87.72332492, 41.8771684]}"
94,131,165.1,133.5,"{'type': 'Point', 'coordinates': [-87.72579473, 41.87713666]}"
95,132,37.9,18.8,"{'type': 'Point', 'coordinates': [-87.72819551, 41.87710765]}"
96,133,35.0,16.0,"{'type': 'Point', 'coordinates': [-87.73064873, 41.87707727]}"
97,134,65.8,25.8,"{'type': 'Point', 'coordinates': [-87.73310614, 41.8770945]}"
98,135,76.4,27.0,"{'type': 'Point', 'coordinates': [-87.73555571, 41.87701751]}"
99,136,57.2,18.5,"{'type': 'Point', 'coordinates': [-87.737991, 41.87698719]}"
100,137,14.2,4.6,"{'type': 'Point', 'coordinates': [-87.73943465, 41.87696338]}"
101,138,15.2,5.0,"{'type': 'Point', 'coordinates': [-87.74069588, 41.87696546]}"
102,139,242.1,38.9,"{'type': 'Point', 'coordinates': [-87.74280741, 41.87692666]}"
103,140,1.7,0.2,"{'type': 'Point', 'coordinates': [-87.74541898, 41.87685893]}"
104,141,0.0,0.0,"{'type': 'Point', 'coordinates': [-87.74713903, 41.87682102]}"
105,142,0.0,0.0,"{'type': 'Point', 'coordinates': [-87.74934028, 41.87680393]}"
106,143,0.0,0.0,"{'type': 'Point', 'coordinates': [-87.75161217, 41.87675729]}"
107,144,0.0,0.0,"{'type': 'Point', 'coordinates': [-87.75353528, 41.87672858]}"
108,145,172.9,59.1,"{'type': 'Point', 'coordinates': [-87.75523999, 41.87673038]}"
109,146,92.0,14.3,"{'type': 'Point', 'coordinates': [-87.75782934, 41.8766768]}"
